antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'pengaduk'}),frozenset({'Batang'}),0.026949848295555953,0.026949848295555953,0.026949848295555953,1.0,37.10596026490066,0.026223553972402475,inf,1.0
frozenset({'Batang'}),frozenset({'spatula'}),0.026949848295555953,0.02927003391040514,0.024451186864179904,0.9072847682119205,30.99705217250848,0.02366236389068871,10.470016062823484,0.9945416133368322
frozenset({'spatula'}),frozenset({'Batang'}),0.02927003391040514,0.026949848295555953,0.024451186864179904,0.8353658536585366,30.99705217250848,0.02366236389068871,5.910378699241807,0.9969187122471794
frozenset({'Batang'}),frozenset({'kaca'}),0.026949848295555953,0.029805461359985724,0.026949848295555953,1.0,33.550898203592816,0.026146595633525282,inf,0.9970652971386647
frozenset({'kaca'}),frozenset({'Batang'}),0.029805461359985724,0.026949848295555953,0.026949848295555953,0.9041916167664671,33.550898203592816,0.026146595633525282,10.156210958415137,1.0
frozenset({'Batang'}),frozenset({'cm'}),0.026949848295555953,0.029448509726932002,0.017669105836159202,0.6556291390728477,22.263576158940396,0.01687547296648818,2.8183322121391012,0.9815358278307653
frozenset({'cm'}),frozenset({'Batang'}),0.029448509726932002,0.026949848295555953,0.017669105836159202,0.6,22.263576158940396,0.01687547296648818,2.43262537926111,0.984062768174574
frozenset({'Batang'}),frozenset({'30cm'}),0.026949848295555953,0.006425129394966982,0.006246653578440122,0.2317880794701987,36.0752391464312,0.006073497315966445,1.293360391908276,0.9992086783356042
frozenset({'30cm'}),frozenset({'Batang'}),0.006425129394966982,0.026949848295555953,0.006246653578440122,0.9722222222222223,36.0752391464312,0.006073497315966445,35.02980546136011,0.9785675793579512
frozenset({'Batang'}),frozenset({'25'}),0.026949848295555953,0.009994645725504195,0.007139032661074424,0.2649006622516556,26.504257332071898,0.00686967847500426,1.3467640404995393,0.9889214966984592
frozenset({'25'}),frozenset({'Batang'}),0.009994645725504195,0.026949848295555953,0.007139032661074424,0.7142857142857142,26.504257332071898,0.00686967847500426,3.4056755309655533,0.9719848566792861
frozenset({'Batang'}),frozenset({'20'}),0.026949848295555953,0.006246653578440122,0.006246653578440122,0.2317880794701987,37.10596026490066,0.006078307212146269,1.2935927181866858,1.0
frozenset({'20'}),frozenset({'Batang'}),0.006246653578440122,0.026949848295555953,0.006246653578440122,1.0,37.10596026490066,0.006078307212146269,inf,0.9791666666666667
frozenset({'pengaduk'}),frozenset({'spatula'}),0.026949848295555953,0.02927003391040514,0.024451186864179904,0.9072847682119205,30.99705217250848,0.02366236389068871,10.470016062823484,0.9945416133368322
frozenset({'spatula'}),frozenset({'pengaduk'}),0.02927003391040514,0.026949848295555953,0.024451186864179904,0.8353658536585366,30.99705217250848,0.02366236389068871,5.910378699241807,0.9969187122471794
frozenset({'pengaduk'}),frozenset({'kaca'}),0.026949848295555953,0.029805461359985724,0.026949848295555953,1.0,33.550898203592816,0.026146595633525282,inf,0.9970652971386647
frozenset({'kaca'}),frozenset({'pengaduk'}),0.029805461359985724,0.026949848295555953,0.026949848295555953,0.9041916167664671,33.550898203592816,0.026146595633525282,10.156210958415137,1.0
frozenset({'pengaduk'}),frozenset({'cm'}),0.026949848295555953,0.029448509726932002,0.017669105836159202,0.6556291390728477,22.263576158940396,0.01687547296648818,2.8183322121391012,0.9815358278307653
frozenset({'cm'}),frozenset({'pengaduk'}),0.029448509726932002,0.026949848295555953,0.017669105836159202,0.6,22.263576158940396,0.01687547296648818,2.43262537926111,0.984062768174574
frozenset({'pengaduk'}),frozenset({'30cm'}),0.026949848295555953,0.006425129394966982,0.006246653578440122,0.2317880794701987,36.0752391464312,0.006073497315966445,1.293360391908276,0.9992086783356042
frozenset({'30cm'}),frozenset({'pengaduk'}),0.006425129394966982,0.026949848295555953,0.006246653578440122,0.9722222222222223,36.0752391464312,0.006073497315966445,35.02980546136011,0.9785675793579512
frozenset({'pengaduk'}),frozenset({'25'}),0.026949848295555953,0.009994645725504195,0.007139032661074424,0.2649006622516556,26.504257332071898,0.00686967847500426,1.3467640404995393,0.9889214966984592
frozenset({'25'}),frozenset({'pengaduk'}),0.009994645725504195,0.026949848295555953,0.007139032661074424,0.7142857142857142,26.504257332071898,0.00686967847500426,3.4056755309655533,0.9719848566792861
frozenset({'pengaduk'}),frozenset({'20'}),0.026949848295555953,0.006246653578440122,0.006246653578440122,0.2317880794701987,37.10596026490066,0.006078307212146269,1.2935927181866858,1.0
frozenset({'20'}),frozenset({'pengaduk'}),0.006246653578440122,0.026949848295555953,0.006246653578440122,1.0,37.10596026490066,0.006078307212146269,inf,0.9791666666666667
frozenset({'kaca'}),frozenset({'spatula'}),0.029805461359985724,0.02927003391040514,0.024451186864179904,0.8203592814371258,28.027274718854972,0.02357877999945785,5.4037301445654125,0.9939454730023687
frozenset({'spatula'}),frozenset({'kaca'}),0.02927003391040514,0.029805461359985724,0.024451186864179904,0.8353658536585366,28.02727471885497,0.02357877999945785,5.893033493961567,0.9933972405296702
frozenset({'cm'}),frozenset({'spatula'}),0.029448509726932002,0.02927003391040514,0.018739960735320364,0.6363636363636364,21.74113082039911,0.017878001857002168,2.6695074067463858,0.9829506646351075
frozenset({'spatula'}),frozenset({'cm'}),0.02927003391040514,0.029448509726932002,0.018739960735320364,0.6402439024390244,21.741130820399114,0.017878001857002168,2.697804142453952,0.9827699419536156
frozenset({'spatula'}),frozenset({'30cm'}),0.02927003391040514,0.006425129394966982,0.006425129394966982,0.2195121951219512,34.16463414634146,0.006237065639697557,1.2730178029626986,1.0
frozenset({'30cm'}),frozenset({'spatula'}),0.006425129394966982,0.02927003391040514,0.006425129394966982,1.0,34.16463414634146,0.006237065639697557,inf,0.9770073648284534
frozenset({'spatula'}),frozenset({'25'}),0.02927003391040514,0.009994645725504195,0.007852935927181866,0.26829268292682923,26.843641114982574,0.007560392307873872,1.3530073175084776,0.9917765632051346
frozenset({'25'}),frozenset({'spatula'}),0.009994645725504195,0.02927003391040514,0.007852935927181866,0.7857142857142856,26.843641114982574,0.007560392307873872,4.530073175084773,0.9724666896110921
frozenset({'spatula'}),frozenset({'20'}),0.02927003391040514,0.006246653578440122,0.006246653578440122,0.21341463414634146,34.16463414634146,0.006063813816372626,1.2633763473886497,1.0000000000000002
frozenset({'20'}),frozenset({'spatula'}),0.006246653578440122,0.02927003391040514,0.006246653578440122,1.0,34.16463414634146,0.006063813816372626,inf,0.9768318965517242
frozenset({'Spatel'}),frozenset({'spatula'}),0.004461895413171516,0.02927003391040514,0.004461895413171516,1.0,34.16463414634146,0.004331295583123305,inf,0.9750806740767302
frozenset({'spatula'}),frozenset({'Spatel'}),0.02927003391040514,0.004461895413171516,0.004461895413171516,0.1524390243902439,34.16463414634146,0.004331295583123305,1.1745917205197114,1.0000000000000002
frozenset({'stainless'}),frozenset({'spatula'}),0.003569516330537212,0.02927003391040514,0.003569516330537212,1.0,34.16463414634146,0.003465036466498643,inf,0.9742074153680816
frozenset({'10'}),frozenset({'kaca'}),0.003926467963590933,0.029805461359985724,0.003569516330537212,0.9090909090909092,30.500816548720742,0.003452486141367181,10.672139925040167,0.9710266977244222
frozenset({'cm'}),frozenset({'kaca'}),0.029448509726932002,0.029805461359985724,0.020346243084062108,0.6909090909090908,23.180620577027756,0.019468516665286872,3.1388646838353393,0.9858936141383249
frozenset({'kaca'}),frozenset({'cm'}),0.029805461359985724,0.029448509726932002,0.020346243084062108,0.6826347305389221,23.18062057702776,0.019468516665286872,3.0581528089736287,0.9862563417373456
frozenset({'kaca'}),frozenset({'30cm'}),0.029805461359985724,0.006425129394966982,0.006246653578440122,0.2095808383233533,32.618928809048576,0.006055149632525525,1.257022752962428,0.9991222537580154
frozenset({'30cm'}),frozenset({'kaca'}),0.006425129394966982,0.029805461359985724,0.006246653578440122,0.9722222222222223,32.61892880904857,0.006055149632525525,34.927003391040635,0.9756113834073239
